user_id,favorite_genres,activity_level
248,Sci-Fi,0.572
249,Animation,0.274
250,Sci-Fi,0.95
251,Romance,0.757
252,Comedy,1.067
253,Comedy|Animation,1.09
254,Comedy,1.177
255,Action,0.539
256,Comedy,3.964
257,Comedy|Documentary,0.876
258,Sci-Fi|Fantasy,0.164
259,Comedy,0.326
260,Thriller,0.18
261,Sci-Fi,0.736
262,Sci-Fi,0.659
263,Documentary,0.499
264,Fantasy,3.629
265,Documentary,1.127
266,Comedy,1.298
267,Comedy,0.345
268,Thriller,0.327
269,Drama|Animation,0.748
270,Horror,0.834
271,Horror|Documentary,0.165
272,Animation,0.629
273,Action|Thriller,0.735
274,Sci-Fi|Drama,0.611
275,Sci-Fi|Animation,0.379
276,Documentary|Horror,0.472
277,Sci-Fi|Drama,0.631
278,Horror|Romance,0.781
279,Horror|Thriller,1.178
280,Action,1.725
281,Action,0.574
282,Comedy,0.504
283,Documentary|Thriller,1.031
284,Comedy,1.184
285,Documentary,0.513
286,Sci-Fi|Fantasy,1.367
287,Action,1.59
288,Comedy,2.041
289,Horror,3.013
290,Comedy,0.363
291,Thriller,0.734
292,Comedy,0.733
293,Comedy,0.672
294,Comedy,0.432
295,Sci-Fi,0.221
296,Comedy|Documentary,0.782
297,Romance,0.393
298,Romance|Action,0.778
299,Romance|Drama,0.385
300,Thriller,0.301
301,Comedy,0.876
302,Documentary,0.82
303,Documentary|Comedy,1.155
304,Comedy|Thriller,4.174
305,Comedy|Documentary,0.907
306,Animation,1.071
307,Documentary|Horror,0.307
308,Fantasy,0.259
309,Action|Sci-Fi,2.577
310,Romance,0.347
311,Fantasy|Horror,0.315
312,Documentary|Comedy,0.704
313,Fantasy,0.676
314,Sci-Fi|Fantasy,0.353
315,Sci-Fi,0.569
316,Sci-Fi|Horror,1.942
317,Comedy,0.381
318,Romance|Comedy,0.238
319,Comedy,1.544
320,Documentary|Horror,1.077
321,Romance|Sci-Fi,0.442
322,Sci-Fi,0.205
323,Thriller|Documentary,0.4
324,Documentary|Sci-Fi,0.695
325,Romance|Sci-Fi,1.846
326,Horror,0.317
327,Sci-Fi,0.679
328,Thriller,1.247
329,Horror|Romance,0.108
330,Romance,1.661
331,Sci-Fi,0.282
332,Comedy,0.947
333,Comedy,0.885
334,Animation,1.73
335,Sci-Fi|Comedy,1.129
336,Horror|Animation,0.108
337,Drama,0.388
338,Documentary,0.811
339,Documentary|Thriller,0.621
340,Thriller,1.064
341,Action,1.366
342,Fantasy,1.182
343,Sci-Fi|Documentary,0.612
344,Horror,0.166
345,Action|Animation,0.505
346,Horror|Action,1.013
347,Animation,0.304
348,Documentary|Sci-Fi,1.204
349,Sci-Fi|Action,1.502
350,Animation,0.804
351,Romance,0.063
352,Documentary,0.261
353,Romance,3.285
354,Horror,0.469
355,Drama|Comedy,0.149
356,Animation,1.951
357,Sci-Fi,0.734
358,Horror|Fantasy,1.758
359,Fantasy,0.907
360,Documentary|Comedy,1.048
361,Thriller|Documentary,0.971
362,Romance,1.269
363,Comedy,4.492
364,Documentary|Sci-Fi,1.579
365,Horror|Fantasy,0.205
366,Thriller|Sci-Fi,1.038
367,Romance,1.81
368,Sci-Fi|Comedy,1.901
369,Animation|Documentary,0.516
370,Drama,1.845
371,Romance,1.526
372,Documentary|Action,5.688
373,Horror,0.399
374,Sci-Fi,0.484
375,Thriller|Comedy,0.569
376,Thriller,0.491
377,Romance,0.356
378,Thriller,0.08
379,Action,0.513
380,Sci-Fi|Horror,0.976
381,Comedy|Drama,0.49
382,Romance,3.416
383,Comedy|Fantasy,0.734
384,Sci-Fi|Documentary,2.04
385,Fantasy,0.895
386,Action|Thriller,1.407
387,Documentary,0.908
388,Thriller|Sci-Fi,2.171
389,Sci-Fi|Action,0.76
390,Horror|Fantasy,1.08
391,Fantasy,0.974
392,Action|Animation,0.577
393,Drama,1.004
394,Documentary,4.34
395,Action,0.585
396,Fantasy|Documentary,1.016
397,Comedy,1.987
398,Action|Documentary,1.808
399,Comedy|Horror,0.733
400,Documentary,0.108
401,Horror,1.098
402,Sci-Fi,0.123
403,Sci-Fi|Action,2.354
404,Fantasy|Romance,0.832
405,Comedy,1.616
406,Drama|Fantasy,0.353
407,Comedy,0.21
408,Documentary|Animation,0.895
409,Documentary|Fantasy,0.707
410,Documentary|Fantasy,0.49
411,Comedy|Animation,0.777
412,Horror|Documentary,6.647
413,Fantasy,1.416
414,Animation,1.682
415,Sci-Fi,1.427
416,Sci-Fi,2.372
417,Sci-Fi|Romance,0.624
418,Sci-Fi|Action,0.14
419,Action|Animation,0.625
420,Sci-Fi,1.39
421,Documentary|Thriller,0.334
422,Action,0.631
423,Comedy,0.418
424,Comedy|Fantasy,2.415
425,Comedy|Horror,1.323
426,Fantasy|Drama,1.223
427,Action,1.194
428,Comedy|Action,0.705
429,Comedy,0.851
430,Horror|Documentary,0.281
431,Horror|Thriller,0.126
432,Comedy,0.819
433,Documentary,0.941
434,Thriller,1.911
435,Documentary|Fantasy,2.553
436,Romance,2.55
437,Action|Drama,0.327
438,Sci-Fi|Fantasy,0.548
439,Sci-Fi,1.067
440,Animation,5.506
441,Horror|Comedy,2.373
442,Romance,1.779
443,Thriller,0.533
444,Thriller|Sci-Fi,0.358
445,Drama|Animation,1.365
446,Comedy|Fantasy,0.301
447,Comedy,0.6
448,Comedy,0.663
449,Sci-Fi,2.598
450,Horror,0.547
451,Sci-Fi,0.103
452,Sci-Fi,1.087
453,Fantasy,0.415
454,Sci-Fi,0.752
455,Sci-Fi,0.678
456,Sci-Fi|Action,0.584
457,Horror|Drama,1.367
458,Thriller,0.213
459,Action,0.48
460,Fantasy,1.255
461,Sci-Fi,0.444
462,Documentary,0.201
463,Sci-Fi,1.24
464,Action,1.784
465,Documentary,0.701
466,Thriller,0.151
467,Animation,1.278
468,Sci-Fi,0.193
469,Thriller|Documentary,0.93
470,Thriller|Romance,0.357
471,Thriller|Fantasy,0.287
472,Romance,0.51
473,Sci-Fi|Documentary,0.627
474,Sci-Fi,0.434
475,Animation,1.163
476,Sci-Fi|Comedy,0.508
477,Animation,1.591
478,Comedy,0.91
479,Comedy|Thriller,0.416
480,Animation|Documentary,0.363
481,Drama|Comedy,0.194
482,Fantasy,0.917
483,Comedy,0.547
484,Comedy|Drama,0.109
485,Horror,0.473
486,Documentary|Animation,0.353
487,Animation,2.562
488,Comedy,0.186
489,Romance,0.229
490,Sci-Fi|Comedy,1.765
491,Drama,2.15
492,Romance,0.4
493,Comedy,0.438
494,Horror,1.189
495,Animation,0.113
496,Action|Sci-Fi,0.164
497,Animation,0.58
498,Animation|Documentary,2.51
499,Sci-Fi|Documentary,0.513
500,Drama,0.787
501,Romance,1.799
502,Comedy|Sci-Fi,3.919
503,Sci-Fi,0.458
504,Drama,0.717
505,Animation|Romance,3.12
506,Drama|Comedy,0.215
507,Sci-Fi|Drama,1.653
508,Romance,0.322
509,Drama|Animation,0.788
510,Documentary|Sci-Fi,0.598
511,Thriller,0.338
512,Documentary|Fantasy,0.331
513,Thriller,0.906
514,Documentary,1.611
515,Documentary,0.655
516,Animation,0.768
517,Sci-Fi,1.147
518,Action|Horror,0.334
519,Sci-Fi|Thriller,1.313
520,Horror,1.399
521,Documentary|Comedy,5.831
522,Drama|Animation,0.538
523,Documentary,0.503
524,Fantasy,1.344
525,Documentary,1.399
526,Documentary,0.473
527,Romance|Sci-Fi,0.526
528,Drama,1.12
529,Thriller,0.375
530,Fantasy,0.523
531,Romance,0.78
532,Horror|Drama,1.611
533,Comedy,0.448
534,Comedy,0.166
535,Action,0.157
536,Fantasy,0.265
537,Sci-Fi,0.254
538,Documentary,0.642
539,Thriller,0.281
540,Comedy,0.414
541,Comedy|Documentary,0.391
542,Drama|Documentary,0.511
543,Comedy|Thriller,2.092
544,Documentary|Drama,1.233
545,Drama|Fantasy,0.736
546,Drama,0.502
547,Sci-Fi,0.514
548,Sci-Fi,0.944
549,Drama,1.159
550,Animation|Romance,0.351
551,Documentary,0.748
552,Comedy|Action,0.143
553,Horror|Fantasy,0.86
554,Action,1.336
555,Comedy|Horror,0.581
556,Documentary,3.106
557,Action|Sci-Fi,0.359
558,Animation,0.864
559,Romance,0.706
560,Comedy,0.67
561,Comedy,0.663
562,Sci-Fi,0.791
563,Sci-Fi|Documentary,1.431
564,Thriller|Fantasy,2.187
565,Sci-Fi,0.725
566,Sci-Fi,1.394
567,Documentary,0.414
568,Drama,1.34
569,Animation|Action,0.395
570,Sci-Fi,1.738
571,Comedy,4.258
572,Comedy,0.659
573,Sci-Fi,0.126
574,Drama,0.469
575,Animation|Documentary,1.946
576,Documentary|Drama,1.131
577,Drama|Comedy,0.886
578,Fantasy|Sci-Fi,1.628
579,Drama,1.07
580,Documentary|Sci-Fi,1.924
581,Action|Comedy,1.516
582,Thriller|Animation,2.454
583,Comedy|Documentary,0.968
584,Documentary|Comedy,1.499
585,Action|Documentary,0.568
586,Romance,0.449
587,Thriller|Animation,2.845
588,Comedy,0.863
589,Animation,1.383
590,Fantasy|Animation,0.802
591,Sci-Fi|Documentary,0.454
592,Horror|Animation,0.733
593,Documentary,2.291
594,Animation|Drama,1.133
595,Comedy|Drama,0.185
596,Sci-Fi,0.611
597,Sci-Fi,3.023
598,Horror,0.612
599,Sci-Fi|Animation,0.172
600,Documentary,3.303
601,Drama|Animation,1.254
602,Thriller,0.687
603,Horror|Comedy,0.54
604,Animation,1.727
605,Fantasy|Animation,0.471
606,Documentary,1.82
607,Fantasy,1.121
608,Romance|Thriller,0.883
609,Sci-Fi|Fantasy,0.816
610,Action|Sci-Fi,0.631
611,Documentary,1.677
612,Drama,0.363
613,Animation,0.198
614,Sci-Fi,1.187
615,Fantasy|Documentary,1.204
616,Drama|Animation,1.067
617,Romance|Thriller,1.006
618,Thriller|Documentary,0.562
619,Action|Comedy,1.364
620,Animation|Horror,0.7
621,Sci-Fi,0.492
622,Action,0.566
623,Romance|Documentary,3.658
624,Action|Sci-Fi,0.181
625,Fantasy,1.083
626,Action,0.19
627,Animation|Drama,0.666
628,Documentary,0.513
629,Animation,0.137
630,Documentary|Comedy,0.992
631,Horror|Animation,0.536
632,Drama,0.135
633,Drama|Action,1.422
634,Fantasy,2.289
635,Animation|Thriller,2.393
636,Animation,0.968
637,Horror,0.754
638,Sci-Fi,2.102
639,Sci-Fi,2.79
640,Thriller|Comedy,1.799
641,Documentary,0.342
642,Documentary,0.853
643,Romance,1.032
644,Horror|Comedy,0.171
645,Fantasy|Documentary,1.057
646,Documentary|Romance,4.476
647,Comedy,1.212
648,Comedy,2.361
649,Action,0.841
650,Comedy,0.685
651,Action|Fantasy,0.985
652,Action|Comedy,0.378
653,Documentary,0.336
654,Horror,2.0
655,Animation|Thriller,2.177
656,Documentary,0.329
657,Thriller,1.576
658,Horror,0.678
659,Animation,0.953
660,Sci-Fi,1.05
661,Romance,1.609
662,Sci-Fi,0.776
663,Comedy|Animation,2.244
664,Drama,0.93
665,Comedy,1.197
666,Drama|Documentary,0.373
667,Romance|Thriller,4.085
668,Documentary,1.058
669,Action,1.285
670,Animation|Romance,0.201
671,Comedy,0.376
672,Thriller,1.955
673,Documentary|Drama,0.914
674,Horror,0.157
675,Drama|Horror,1.667
676,Thriller,0.47
677,Thriller|Comedy,2.246
678,Thriller,0.677
679,Thriller,0.856
680,Thriller,1.865
681,Action,0.354
682,Sci-Fi|Action,0.328
683,Drama,0.621
684,Sci-Fi,1.408
685,Animation|Drama,0.25
686,Documentary|Horror,0.191
687,Animation,1.404
688,Sci-Fi,0.448
689,Sci-Fi|Thriller,0.531
690,Documentary|Sci-Fi,0.164
691,Horror|Thriller,0.422
692,Animation|Action,0.722
693,Horror|Sci-Fi,1.529
694,Documentary,0.392
695,Sci-Fi,2.735
696,Sci-Fi,0.42
697,Fantasy|Sci-Fi,0.421
698,Comedy|Action,2.485
699,Action,0.86
700,Sci-Fi,0.467
701,Animation,0.642
702,Animation|Action,2.144
703,Horror,2.347
704,Comedy,0.378
705,Fantasy,0.702
706,Comedy,0.781
707,Thriller,0.33
708,Romance,0.695
709,Thriller,0.729
710,Sci-Fi,1.808
711,Animation,1.908
712,Drama,0.558
713,Documentary,0.612
714,Sci-Fi|Animation,1.236
715,Documentary,0.455
716,Fantasy,1.163
717,Drama,0.677
718,Drama,0.334
719,Drama,0.338
720,Drama,2.312
721,Horror|Fantasy,0.641
722,Fantasy,2.698
723,Horror,0.482
724,Thriller,0.917
725,Documentary,4.925
726,Documentary,0.312
727,Comedy|Horror,0.159
728,Documentary|Drama,2.033
729,Sci-Fi,0.375
730,Fantasy,0.714
731,Fantasy,0.455
732,Documentary,0.9
733,Documentary|Drama,0.34
734,Romance,0.629
735,Horror,1.041
736,Horror|Sci-Fi,0.324
737,Thriller,0.415
738,Sci-Fi,0.55
739,Animation|Romance,0.232
740,Romance,0.518
741,Comedy,0.799
742,Comedy,0.528
743,Documentary|Sci-Fi,0.585
744,Drama,0.715
745,Animation,0.43
746,Horror,1.263
747,Action,2.291
748,Romance|Comedy,0.501
749,Thriller,1.071
750,Drama,0.6
751,Action,0.973
752,Action|Horror,2.542
753,Action,1.091
754,Documentary|Comedy,0.176
755,Thriller|Sci-Fi,1.044
756,Sci-Fi,1.948
757,Action|Documentary,0.608
758,Documentary|Action,1.611
759,Comedy,0.418
760,Documentary|Horror,0.221
761,Comedy,0.813
762,Comedy|Thriller,0.178
763,Animation|Thriller,0.6
764,Fantasy,2.033
765,Sci-Fi|Drama,0.158
766,Sci-Fi,0.261
767,Romance|Drama,0.318
768,Action|Romance,0.69
769,Animation,0.542
770,Action,2.225
771,Sci-Fi,1.559
772,Thriller,1.079
773,Thriller,0.816
774,Animation,0.995
775,Documentary,0.364
776,Animation,1.442
777,Comedy|Sci-Fi,0.298
778,Thriller|Drama,1.417
779,Action|Drama,1.876
780,Sci-Fi,0.86
781,Sci-Fi|Comedy,0.631
782,Documentary,1.001
783,Documentary,0.074
784,Comedy,0.925
785,Documentary|Action,0.663
786,Documentary,0.698
787,Fantasy,1.278
788,Action|Animation,0.684
789,Fantasy,0.292
790,Documentary,0.649
791,Fantasy|Horror,0.767
792,Action,0.796
793,Documentary,0.827
794,Thriller|Romance,1.668
795,Horror|Comedy,0.305
796,Animation,0.836
797,Action|Animation,2.039
798,Documentary,0.181
799,Sci-Fi,0.839
800,Sci-Fi,0.455
